Date,Adj Close
12/31/2012,1426.19
12/28/2012,1402.43
12/27/2012,1418.1
12/26/2012,1419.83
12/24/2012,1426.66
12/21/2012,1430.15
12/20/2012,1443.69
12/19/2012,1435.81
12/18/2012,1446.79
12/17/2012,1430.36
12/14/2012,1413.58
12/13/2012,1419.45
12/12/2012,1428.48
12/11/2012,1427.84
12/10/2012,1418.55
12/7/2012,1418.07
12/6/2012,1413.94
12/5/2012,1409.28
12/4/2012,1407.05
12/3/2012,1409.46
11/30/2012,1416.18
11/29/2012,1415.95
11/28/2012,1409.93
11/27/2012,1398.94
11/26/2012,1406.29
11/23/2012,1409.15
11/21/2012,1391.03
11/20/2012,1387.81
11/19/2012,1386.89
11/16/2012,1359.88
11/15/2012,1353.33
11/14/2012,1355.49
11/13/2012,1374.53
11/12/2012,1380.03
11/9/2012,1379.85
11/8/2012,1377.51
11/7/2012,1394.53
11/6/2012,1428.39
11/5/2012,1417.26
11/2/2012,1414.2
11/1/2012,1427.59
10/31/2012,1412.16
10/26/2012,1411.94
10/25/2012,1412.97
10/24/2012,1408.75
10/23/2012,1413.11
10/22/2012,1433.82
10/19/2012,1433.19
10/18/2012,1457.34
10/17/2012,1460.91
10/16/2012,1454.92
10/15/2012,1440.13
10/12/2012,1428.59
10/11/2012,1432.84
10/10/2012,1432.56
10/9/2012,1441.48
10/8/2012,1455.88
10/5/2012,1460.93
10/4/2012,1461.4
10/3/2012,1450.99
10/2/2012,1445.75
10/1/2012,1444.49
9/28/2012,1440.67
9/27/2012,1447.15
9/26/2012,1433.32
9/25/2012,1441.59
9/24/2012,1456.89
9/21/2012,1460.15
9/20/2012,1460.26
9/19/2012,1461.05
9/18/2012,1459.32
9/17/2012,1461.19
9/14/2012,1465.77
9/13/2012,1459.99
9/12/2012,1436.56
9/11/2012,1433.56
9/10/2012,1429.08
9/7/2012,1437.92
9/6/2012,1432.12
9/5/2012,1403.44
9/4/2012,1404.94
8/31/2012,1406.58
8/30/2012,1399.48
8/29/2012,1410.49
8/28/2012,1409.3
8/27/2012,1410.44
8/24/2012,1411.13
8/23/2012,1402.08
8/22/2012,1413.49
8/21/2012,1413.17
8/20/2012,1418.13
8/17/2012,1418.16
8/16/2012,1415.51
8/15/2012,1405.53
8/14/2012,1403.93
8/13/2012,1404.11
8/10/2012,1405.87
8/9/2012,1402.8
8/8/2012,1402.22
8/7/2012,1401.35
8/6/2012,1394.23
8/3/2012,1390.99
8/2/2012,1365
8/1/2012,1375.32
7/31/2012,1379.32
7/30/2012,1385.3
7/27/2012,1385.97
7/26/2012,1360.02
7/25/2012,1337.89
7/24/2012,1338.31
7/23/2012,1350.52
7/20/2012,1362.66
7/19/2012,1376.51
7/18/2012,1372.78
7/17/2012,1363.67
7/16/2012,1353.64
7/13/2012,1356.78
7/12/2012,1334.76
7/11/2012,1341.45
7/10/2012,1341.47
7/9/2012,1352.46
7/6/2012,1354.68
7/5/2012,1367.58
7/3/2012,1374.02
7/2/2012,1365.51
6/29/2012,1362.16
6/28/2012,1329.04
6/27/2012,1331.85
6/26/2012,1319.99
6/25/2012,1313.72
6/22/2012,1335.02
6/21/2012,1325.51
6/20/2012,1355.69
6/19/2012,1357.98
6/18/2012,1344.78
6/15/2012,1342.84
6/14/2012,1329.1
6/13/2012,1314.88
6/12/2012,1324.18
6/11/2012,1308.93
6/8/2012,1325.66
6/7/2012,1314.99
6/6/2012,1315.13
6/5/2012,1285.5
6/4/2012,1278.18
6/1/2012,1278.04
5/31/2012,1310.33
5/30/2012,1313.32
5/29/2012,1332.42
5/25/2012,1317.82
5/24/2012,1320.68
5/23/2012,1318.86
5/22/2012,1316.63
5/21/2012,1315.99
5/18/2012,1295.22
5/17/2012,1304.86
5/16/2012,1324.8
5/15/2012,1330.66
5/14/2012,1338.35
5/11/2012,1353.39
5/10/2012,1357.99
5/9/2012,1354.58
5/8/2012,1363.72
5/7/2012,1369.58
5/4/2012,1369.1
5/3/2012,1391.57
5/2/2012,1402.31
5/1/2012,1405.82
4/30/2012,1397.91
4/27/2012,1403.36
4/26/2012,1399.98
4/25/2012,1390.69
4/24/2012,1371.97
4/23/2012,1366.94
4/20/2012,1378.53
4/19/2012,1376.92
4/18/2012,1385.14
4/17/2012,1390.78
4/16/2012,1369.57
4/13/2012,1370.26
4/12/2012,1387.57
4/11/2012,1368.71
4/10/2012,1358.59
4/9/2012,1382.2
4/5/2012,1398.08
4/4/2012,1398.96
4/3/2012,1413.38
4/2/2012,1419.04
3/30/2012,1408.47
